RecordID,Brainwave,TP9,AF7,AF8,TP10
89,Gamma,-0.14113934,-0.47835955,0.18299508,0.2078912
90,Alpha,1.2505585,-0.07732675,0.8675704,1.0884371
91,Beta,0.5353279,-0.04296034,0.56499213,0.80667055
92,Delta,1.0121518,1.3897784,1.0690167,0.92859113
93,Theta,0.7800185,0.24174626,0.78300875,0.5920566
94,Gamma,-0.1555198,-0.47835955,0.16192815,0.1784756
95,Alpha,1.2505585,-0.07732675,0.8675704,1.0884371
96,Beta,0.5235435,-0.04296034,0.5539108,0.79691094
97,Delta,1.0847244,1.3897784,1.0414469,0.9360135
98,Theta,0.8149941,0.24174626,0.7580659,0.5724156
99,Gamma,-0.16476813,-0.47835955,0.139108,0.15650754
100,Alpha,1.2505585,-0.07732675,0.86295867,1.0884371
101,Beta,0.5258375,-0.04296034,0.5257007,0.796042
102,Delta,1.0847007,1.3897784,1.0029035,0.9560637
103,Theta,0.82955134,0.24174626,0.7087158,0.5695383
104,Gamma,-0.2168087,-0.47835955,0.11076075,0.15181962
105,Alpha,1.2505585,-0.07732675,0.83467966,1.0884371
106,Beta,0.52557063,-0.04296034,0.5041803,0.7892512
107,Delta,1.0887755,1.3897784,0.9349431,0.97253966
108,Theta,0.8395047,0.24174626,0.6440615,0.57170296
109,Gamma,-0.2559763,-0.47835955,0.10291613,0.14596137
110,Alpha,1.2505585,-0.07732675,0.75861263,1.0884371
111,Beta,0.51305217,-0.04296034,0.47520113,0.7716078
112,Delta,1.0939801,1.3897784,0.8197577,0.97734606
113,Theta,0.84215176,0.24174626,0.5322906,0.57191324
114,Gamma,-0.27708495,-0.47835955,0.089931086,0.13655128
115,Alpha,1.2456234,-0.07732675,0.65990514,1.0884371
116,Beta,0.48164296,-0.04296034,0.44390887,0.7330138
117,Delta,1.1041423,1.3897784,0.6828998,0.9613458
118,Theta,0.8337382,0.24174626,0.38517097,0.5581797
119,Gamma,-0.28921786,-0.47835955,0.06993193,0.12436375
120,Alpha,1.2148632,-0.07732675,0.5047874,1.0722957
121,Beta,0.4341221,-0.04296034,0.41833046,0.6685582
122,Delta,1.1179165,1.3897784,0.57473487,0.9244358
123,Theta,0.81794125,0.24174626,0.24283378,0.52547145
124,Gamma,-0.2996788,-0.47835955,0.046762973,0.11082805
125,Alpha,1.0915947,-0.07732675,0.29463363,0.9870247
126,Beta,0.38685092,-0.04296034,0.4056668,0.5905464
127,Delta,1.1347593,1.3897784,0.5175357,0.8801435
128,Theta,0.80760473,0.24174626,0.15311584,0.47942615
129,Gamma,-0.31022498,-0.47835955,0.026327655,0.09922213
130,Alpha,0.89455,-0.07732675,0.1266753,0.82303876
131,Beta,0.36183792,-0.04296034,0.40975425,0.5286599
132,Delta,1.1600893,1.3897784,0.49960288,0.84349585
133,Theta,0.8188492,0.24174626,0.12174388,0.43317962
134,Gamma,-0.3155315,-0.47835955,0.009685515,0.09301925
135,Alpha,0.7805822,-0.07732675,0.04619143,0.65994
136,Beta,0.36516523,-0.04296034,0.42600423,0.5065683
137,Delta,1.2002884,1.3897784,0.49484727,0.8292049
138,Theta,0.85528296,0.24174626,0.13016751,0.39754328
139,Gamma,-0.3179921,-0.47835955,-0.011489969,0.08872143
140,Alpha,0.7371003,-0.07732675,0.04619143,0.5580004
141,Beta,0.38187584,-0.04296034,0.44283733,0.51840967
142,Delta,1.2545085,1.3897784,0.47954318,0.82849556
143,Theta,0.90684694,0.24174626,0.15449268,0.3702405
144,Gamma,-0.3263934,-0.47835955,-0.050564494,0.07591871
145,Alpha,0.7371003,-0.07732675,0.04619143,0.48204717
146,Beta,0.39388672,-0.04296034,0.44825912,0.5439672
147,Delta,1.3202201,1.3897784,0.4401112,0.80694216
148,Theta,0.9648552,0.24174626,0.16541359,0.3425529
149,Gamma,-0.3463452,-0.47835955,-0.114241645,0.048057668
150,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
151,Beta,0.39489168,-0.04296034,0.43610248,0.5665532
152,Delta,1.3956935,1.3897784,0.3816519,0.73774594
153,Theta,1.0300685,0.24174626,0.14656523,0.31383893
154,Gamma,-0.3692707,-0.47835955,-0.20377913,0.011118603
155,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
156,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
157,Delta,1.3956935,1.3897784,0.33971676,0.73774594
158,Theta,1.0300685,0.24174626,0.09553431,0.31383893
159,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
160,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
161,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
162,Delta,1.3956935,1.3897784,0.33971676,0.73774594
163,Theta,1.0300685,0.24174626,0.09553431,0.31383893
164,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
165,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
166,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
167,Delta,1.3956935,1.3897784,0.33971676,0.73774594
168,Theta,1.0300685,0.24174626,0.09553431,0.31383893
169,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
170,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
171,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
172,Delta,1.3956935,1.3897784,0.33971676,0.73774594
173,Theta,1.0300685,0.24174626,0.09553431,0.31383893
174,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
175,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
176,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
177,Delta,1.3956935,1.3897784,0.33971676,0.73774594
178,Theta,1.0300685,0.24174626,0.09553431,0.31383893
179,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
180,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
181,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
182,Delta,1.3956935,1.3897784,0.33971676,0.73774594
